# DFF generated LAMMPS data file

1728 atoms
0 bonds
0 angles
0 dihedrals
0 impropers

2  atom types
0  bond types
0  angle types
0  dihedral types
0  improper types

      0.0000      28.8912   xlo xhi
      0.0000      28.8912   ylo yhi
     -0.0000      28.8912   zlo zhi

Masses

           1     40.0780   #   ca0+
           2     15.9994   #   o_

Atoms

         149         149           2     0.00000     2.40760    16.85320     2.40760	      #     O149
         150         150           2     0.00000     2.40760    14.44560    -0.00000	      #     O150
         151         151           2     0.00000     0.00000    16.85320    -0.00000	      #     O151
         152         152           2     0.00000     0.00000    14.44560     2.40760	      #     O152
         153         153           1     2.00000     4.81520    14.44560    -0.00000	      #     Ca153
         154         154           1     2.00000     4.81520    16.85320     2.40760	      #     Ca154
         155         155           1     2.00000     7.22280    14.44560     2.40760	      #     Ca155
         156         156           1     2.00000     7.22280    16.85320    -0.00000	      #     Ca156
         157         157           2     0.00000     7.22280    16.85320     2.40760	      #     O157
         158         158           2     0.00000     7.22280    14.44560    -0.00000	      #     O158
         159         159           2     0.00000     4.81520    16.85320    -0.00000	      #     O159
         160         160           2     0.00000     4.81520    14.44560     2.40760	      #     O160
         161         161           1     2.00000     9.63040    14.44560    -0.00000	      #     Ca161
         162         162           1     2.00000     9.63040    16.85320     2.40760	      #     Ca162
         163         163           1     2.00000    12.03800    14.44560     2.40760	      #     Ca163
         164         164           1     2.00000    12.03800    16.85320    -0.00000	      #     Ca164
         165         165           2     0.00000    12.03800    16.85320     2.40760	      #     O165
         166         166           2     0.00000    12.03800    14.44560    -0.00000	      #     O166
         167         167           2     0.00000     9.63040    16.85320    -0.00000	      #     O167
         168         168           2     0.00000     9.63040    14.44560     2.40760	      #     O168
         169         169           1     2.00000    14.44560    14.44560    -0.00000	      #     Ca169
         170         170           1     2.00000    14.44560    16.85320     2.40760	      #     Ca170
         171         171           1     2.00000    16.85320    14.44560     2.40760	      #     Ca171
         172         172           1     2.00000    16.85320    16.85320    -0.00000	      #     Ca172
         173         173           2     0.00000    16.85320    16.85320     2.40760	      #     O173
         174         174           2     0.00000    16.85320    14.44560    -0.00000	      #     O174
         175         175           2     0.00000    14.44560    16.85320    -0.00000	      #     O175
         176         176           2     0.00000    14.44560    14.44560     2.40760	      #     O176
         177         177           1     2.00000    19.26080    14.44560    -0.00000	      #     Ca177
         178         178           1     2.00000    19.26080    16.85320     2.40760	      #     Ca178
         179         179           1     2.00000    21.66840    14.44560     2.40760	      #     Ca179
